nome_prodotto;barcode;expiry
latte;8000500001111;2026-09-10
uova;8000500002222;2026-09-12
pane;8000500003333;2026-09-08
patate;8000500004444;2026-09-20
cipolla;8000500005555;2026-09-25
pomodoro;8000500006666;2026-09-14
aglio;8000500007777;2026-10-02
olio;8000500008888;2026-12-31
sale;8000500009999;2027-01-15
pepe;8000500011111;2027-01-10
formaggio;8000500012222;2026-09-18
prosciutto;8000500013333;2026-09-17
prosciutto cotto;8000500014444;2026-09-16
bresaola;8000500015555;2026-09-15
zucchine;8000500016666;2026-09-16
carote;8000500017777;2026-09-22
spinaci;8000500018888;2026-09-13
rucola;8000500019999;2026-09-11
lattuga;8000500021111;2026-09-12
mais;8000500022222;2026-10-04
fagioli;8000500023333;2026-10-27
ceci;8000500024444;2026-10-18
lenticchie;8000500025555;2026-10-20
riso;8000500026666;2027-01-09
pasta;8000500027777;2027-01-25
farina;8000500028888;2027-02-12
zucchero;8000500029999;2027-02-08
miele;8000500031111;2027-04-10
burro;8000500032222;2026-09-21
yogurt;8000500033333;2026-09-19
ricotta;8000500034444;2026-09-18
parmigiano;8000500035555;2026-10-08
mozzarella;8000500036666;2026-09-20
gorgonzola;8000500037777;2026-09-19
pecorino;8000500038888;2026-10-12
tonno;8000500039999;2026-10-27
salmone;8000500041111;2026-09-30
gamberi;8000500042222;2026-09-18
pesce;8000500043333;2026-09-17
pollo;8000500044444;2026-09-22
manzo;8000500045555;2026-09-23
maiale;8000500046666;2026-09-24
tofu;8000500047777;2026-09-21
seitan;8000500048888;2026-09-29
mango;8000500049999;2026-09-28
banana;8000500051111;2026-09-19
kiwi;8000500052222;2026-09-15
arancia;8000500053333;2026-09-16
mele;8000500054444;2026-09-25
pere;8000500055555;2026-09-26
uva;8000500056666;2026-09-20
fragole;8000500057777;2026-09-11
lampone;8000500058888;2026-09-13
pesca;8000500059999;2026-09-18
albicocca;8000500061111;2026-09-22
ciliegie;8000500062222;2026-09-14
ananas;8000500063333;2026-09-29
avocado;8000500064444;2026-09-27
mandorle;8000500065555;2027-02-10
noci;8000500066666;2027-02-06
nocciole;8000500067777;2027-02-05
semi di girasole;8000500068888;2027-01-17
semi di zucca;8000500069999;2027-01-18
cannella;8000500071111;2027-04-15
basilico;8000500072222;2026-09-19
prezzemolo;8000500073333;2026-09-18
menta;8000500074444;2026-09-17
origano;8000500075555;2027-01-12
rosmarino;8000500076666;2027-01-14
timo;8000500077777;2027-01-10
sedano;8000500078888;2026-09-24
fagiolini;8000500079999;2026-09-25
piselli;8000500081111;2026-09-21
funghi;8000500082222;2026-09-20
asparagi;8000500083333;2026-09-18
broccoli;8000500084444;2026-09-19
cavolfiore;8000500085555;2026-09-22
cavolo;8000500086666;2026-09-23
radicchio;8000500087777;2026-09-24
porro;8000500088888;2026-09-20
peperoni;8000500089999;2026-09-22
melanzane;8000500091111;2026-09-26
aubergine;8000500092222;2026-09-23
cetriolo;8000500093333;2026-09-16
pomodori secchi;8000500094444;2027-01-04
olive;8000500095555;2027-01-20
capperi;8000500096666;2027-01-18
focaccia;8000500097777;2026-09-13
cracker;8000500098888;2027-02-01
corn flakes;8000500099999;2027-03-20
muesli;8000500101111;2027-03-10
pasta integrale;8000500102222;2027-01-28
cous cous;8000500103333;2027-01-24
quinoa;8000500104444;2027-02-03
farro;8000500105555;2027-01-16
soia;8000500106666;2027-02-15
tahina;8000500107777;2027-03-05
salsa di soia;8000500108888;2027-05-01
aceto;8000500109999;2027-04-01
limone;8000500111111;2026-09-17
lime;8000500112222;2026-09-16
curry;8000500113333;2027-03-01
paprika;8000500114444;2027-03-22
chili;8000500115555;2027-03-18
vaniglia;8000500116666;2027-04-20
cacao;8000500117777;2027-03-25
cioccolato;8000500118888;2026-09-30
biscotti;8000500119999;2026-09-25
cracker integrali;8000500121111;2027-02-02
salsa di pomodoro;8000500122222;2027-01-12
passata di pomodoro;8000500123333;2027-01-11
pesto;8000500124444;2026-09-27
maionese;8000500125555;2026-09-21
ketchup;8000500126666;2027-02-16
mustarda;8000500127777;2027-02-18
marmellata;8000500128888;2027-05-04
nutella;8000500129999;2027-02-22
cocco;8000500131111;2027-03-02
anacardi;8000500132222;2027-02-09
uva passa;8000500133333;2027-02-12
fichi;8000500134444;2026-09-18
prugne;8000500135555;2026-09-20
albicocche;8000500136666;2026-09-27
cavolo rosso;8000500137777;2026-09-22
rapa;8000500138888;2026-09-21
bietole;8000500139999;2026-09-23
ravanelli;8000500141111;2026-09-18
cereali kelloggs;67676767676767676767;2034-11-02
